iter	RMSE
418	224.1265194
419	224.0035633
420	223.8786919
421	223.815396
422	223.7050439
423	223.6405293
424	223.5210762
425	223.4717237
426	223.3855392
427	223.2899468
428	223.1275201
429	223.0442385
430	222.9369112
431	222.8387978
432	222.780755
433	222.7000075
434	222.5980048
435	222.5440585
436	222.4460447
437	222.3819459
438	222.2954038
439	222.2155398
440	222.1598037
441	222.0449483
442	221.9227477
443	221.8281591
444	221.7541707
445	221.6781994
446	221.5741087
447	221.5022248
448	221.4112021
449	221.3199415
450	221.2704529
451	221.2209616
452	221.1071838
453	221.0136106
454	220.9540063
455	220.8836093
456	220.7977439
457	220.7246881
458	220.6082542
459	220.4844749
460	220.3960664
461	220.2781131
462	220.2395371
463	220.1611204
464	220.028271
465	219.9117605
466	219.8108693
467	219.7122748
468	219.6351779
469	219.525159
470	219.4525748
471	219.3715032
472	219.2541507
473	219.1225419
474	219.0358557
475	218.9361234
476	218.873157
477	218.7837688
478	218.6301492
479	218.5511693
480	218.4772907
481	218.4283797
482	218.3433441
483	218.2851353
484	218.204497
485	218.127935
486	218.0601404
487	217.9785449
488	217.90512
489	217.8613127
490	217.7781681
491	217.6824679
492	217.6028292
493	217.5326821
494	217.4731693
495	217.409003
496	217.3302133
497	217.2728963
498	217.2017283
499	217.0813676
500	217.0098728
501	216.913004
502	216.844743
503	216.7620537
504	216.6752948
505	216.6197181
506	216.5885625
507	216.4961213
508	216.4280269
509	216.3429601
510	216.2354384
511	216.1553186
512	216.0643808
513	215.9349266
514	215.8437644
515	215.7631286
516	215.6680457
517	215.6170747
518	215.5227981
519	215.476033
520	215.4174701
521	215.3558776
522	215.2900381
523	215.1644863
524	215.0708916
525	214.9918144
526	214.8689538
527	214.8026225
528	214.7490419
529	214.6878714
530	214.5812862
531	214.5327562
532	214.4868757
533	214.3828664
534	214.3322816
535	214.2567072
536	214.1810172
537	214.043658
538	213.9664307
539	213.9102976
540	213.7989933
541	213.6901456
542	213.6280144
543	213.543158
544	213.4874342
545	213.406156
546	213.3303448
547	213.2094045
548	213.1374989
549	213.0481248
550	212.9957832
551	212.8958094
552	212.8235806
553	212.7330646
554	212.6771181
555	212.5323408
556	212.488441
557	212.4358982
558	212.3846702
559	212.2893594
560	212.2308382
561	212.1868109
562	212.0984596
563	212.0423712
564	211.9649054
565	211.8865355
566	211.8444387
567	211.8126935
568	211.7684173
569	211.7123933
570	211.5951385
571	211.5060361
572	211.4377415
573	211.3609962
574	211.2667874
575	211.2155173
576	211.1271117
577	211.0338536
578	210.9713761
579	210.9088203
580	210.7881931
581	210.7127101
582	210.665383
583	210.6089043
584	210.5108442
585	210.4797224
586	210.3861914
587	210.3240552
588	210.1948501
589	210.0889076
590	210.0206209
591	209.9815502
592	209.8829168
593	209.8397163
594	209.7967092
595	209.6640465
596	209.5660848
597	209.4526571
598	209.3611755
599	209.2981301
600	209.2636009
601	209.1979942
602	209.1440873
603	209.065467
604	209.0037741
605	208.8960318
606	208.7907771
607	208.7133559
608	208.6907227
609	208.6210868
610	208.5885317
611	208.5267757
612	208.4773074
613	208.3642446
614	208.2691483
615	208.1971912
616	208.1263678
617	208.0378236
618	207.9705682
619	207.8678778
620	207.8307817
621	207.7617948
622	207.7034975
623	207.6243272
624	207.5275178
625	207.4861476
626	207.4355997
627	207.4004138
628	207.3463439
629	207.2328761
630	207.1369924
631	207.0535492
632	207.0058566
633	206.920146
634	206.8343852
635	206.7916618
636	206.7363074
637	206.6354386
638	206.6039819
639	206.538832
640	206.4920743
641	206.4045819
642	206.3552449
643	206.2431263
644	206.1844543
645	206.1100818
646	206.0331431
647	205.9458622
648	205.9085671
649	205.8776316
650	205.8300838
651	205.794351
652	205.6303977
653	205.5687045
654	205.4367358
655	205.4131993
656	205.3374442
657	205.2984541
658	205.2390062
659	205.2184157
660	205.1634292
661	205.0834898
662	205.0436396
663	204.9765777
664	204.9135772
665	204.8449424
666	204.7472786
667	204.681299
668	204.6313463
669	204.542782
670	204.5025666
671	204.4428832
672	204.3268739
673	204.1986371
674	204.1653364
675	204.0948368
676	204.0256933
677	203.9462294
678	203.9094774
679	203.8391642
680	203.7924183
681	203.6865191
682	203.5753754
683	203.4857915
684	203.4342119
685	203.3352626
686	203.2132828
687	203.1345991
688	203.078242
689	203.0427362
690	202.9807496
691	202.8911596
692	202.8459619
693	202.7902913
694	202.6962228
695	202.6372669
696	202.5811087
697	202.5231412
698	202.4631799
699	202.4278301
700	202.3721809
701	202.3297997
702	202.2519137
703	202.1594097
704	202.0946408
705	202.0430275
706	201.9926474
707	201.9031001
708	201.8408924
709	201.7912648
710	201.7473601
711	201.6545889
712	201.6040798
713	201.5384861
714	201.4819784
715	201.4494398
716	201.3781176
717	201.3163576
718	201.2724027
719	201.1959702
720	201.1404029
721	201.0673397
722	201.015709
723	200.9046174
724	200.8583689
725	200.8082292
726	200.7324117
727	200.6875442
728	200.5894456
729	200.5508922
730	200.5047565
731	200.4617781
732	200.3684524
733	200.2519469
734	200.1152817
735	200.0705487
736	199.9693984
737	199.9509229
738	199.88647
739	199.8387059
740	199.8030669
741	199.7576987
742	199.7240488
743	199.6558998
744	199.589534
745	199.5709069
746	199.4886649
747	199.4195002
748	199.336987
749	199.2758941
750	199.1945426
751	199.1461705
752	199.0999028
753	199.066929
754	199.0070288
755	198.9373634
756	198.8847712
757	198.8122542
758	198.762389
759	198.681969
760	198.6049786
761	198.5437755
762	198.4857161
763	198.3856008
764	198.3185164
765	198.2673882
766	198.2127033
767	198.1580188
768	198.0879537
769	198.057433
770	197.9861051
771	197.9561634
772	197.9135216
773	197.8510833
774	197.8148162
775	197.7387891
776	197.6952979
777	197.6473073
778	197.6181773
779	197.5560944
780	197.5072329
781	197.4677114
782	197.3946901
783	197.3258436
784	197.2587605
785	197.2143882
786	197.1435364
787	197.0645744
788	197.0426231
789	196.9179195
790	196.8123137
791	196.7604839
792	196.6813613
793	196.6312371
794	196.5817556
795	196.5246704
796	196.4880143
797	196.4150951
798	196.3062945
799	196.2408791
800	196.2044152
801	196.1180152
802	196.0732591
803	196.0226881
804	195.9471473
805	195.8595059
806	195.7962998
807	195.7365334
808	195.6971997
809	195.5985085
810	195.563408
811	195.4950839
812	195.4503617
813	195.406453
814	195.3458721
815	195.2914266
816	195.2333161
817	195.1571799
818	195.1070091
819	195.0583529
820	194.9874382
821	194.926699
822	194.8972994
823	194.864541
824	194.7965575
825	194.7603323
826	194.7066773
827	194.6458238
828	194.5655847
829	194.4572918
830	194.3686008
831	194.313944
832	194.2742751
833	194.2270599
834	194.1729591
835	194.1648401
836	194.1308153
837	194.0990388
838	194.0097282
839	193.9477879
840	193.9181955
841	193.8672573
842	193.8015208
843	193.7592351
844	193.6894861
845	193.6490396
846	193.6026364
847	193.542054
848	193.4954384
849	193.428508
850	193.39054
851	193.3377862
852	193.2725272
853	193.2141865
854	193.1783883
855	193.1513519
856	193.1170634
857	193.0627527
858	193.0232623
859	192.9636724
860	192.8870991
861	192.8020024
862	192.7478857
863	192.6512621
864	192.5806075
865	192.5432992
866	192.5139697
867	192.4460008
868	192.4245606
869	192.3292516
870	192.2699831
871	192.2353624
872	192.1559722
873	192.0887642
874	192.0378661
875	191.9693014
876	191.9257059
877	191.8391148
878	191.7632946
879	191.696851
880	191.6309225
881	191.5450929
882	191.4846489
883	191.4203594
884	191.3691607
885	191.3061118
886	191.2631135
887	191.2118357
888	191.1183152
889	191.06797
890	191.0263841
891	190.9703826
892	190.9064237
893	190.8603607
894	190.7869474
895	190.711408
896	190.6588562
897	190.6171904
898	190.5700311
899	190.5374847
900	190.4932341
901	190.4416602
902	190.4217979
903	190.3580584
904	190.3366492
905	190.3200705
906	190.2785005
907	190.2557906
908	190.2135088
909	190.1743777
910	190.0985869
911	190.0353421
912	189.9805053
913	189.8943346
914	189.8351215
915	189.7816333
916	189.7552735
917	189.6856945
918	189.5969814
919	189.5367851
920	189.4739461
921	189.4494883
922	189.3467829
923	189.3060393
924	189.2350153
925	189.2015366
926	189.1622148
927	189.1022011
928	189.0590108
929	188.9826105
930	188.917471
931	188.8857236
932	188.8458071
933	188.7799362
934	188.7232533
935	188.6850781
936	188.6261645
937	188.5529376
938	188.4919961
939	188.4501962
940	188.3734829
941	188.3270714
942	188.2948813
943	188.2368706
944	188.1598785
945	188.1008457
946	188.0586049
947	188.028982
948	188.022788
949	187.9591737
950	187.9087626
951	187.8609651
952	187.7917949
953	187.7342436
954	187.7113498
955	187.6631861
956	187.6203187
957	187.5756755
958	187.5426301
959	187.4951807
960	187.4376748
961	187.397614
962	187.3527788
963	187.2741088
964	187.2458933
965	187.1686976
966	187.1379305
967	187.0768906
968	187.0317577
969	186.9824923
970	186.9456398
971	186.8929971
972	186.8032949
973	186.7543052
974	186.7270174
975	186.6667869
976	186.6146535
977	186.5436428
978	186.4621904
979	186.3916794
980	186.3395999
981	186.3005709
982	186.2478478
983	186.1634827
984	186.062282
985	186.0151251
986	185.9424337
987	185.9023187
988	185.8632065
989	185.8051179
990	185.7596564
991	185.7118948
992	185.6827803
993	185.6477777
994	185.6104309
995	185.5887531
996	185.551541
997	185.4970897
998	185.4765466
999	185.3975508
