iter	Passed	Remaining
402	13114	19395
403	13142	19355
404	13171	19318
405	13197	19275
406	13223	19234
407	13257	19203
408	13285	19164
409	13331	19151
410	13362	19117
411	13394	19084
412	13425	19049
413	13457	19016
414	13486	18979
415	13514	18939
416	13541	18899
417	13570	18861
418	13597	18822
419	13624	18782
420	13656	18749
421	13682	18708
422	13712	18671
423	13741	18635
424	13768	18595
425	13797	18559
426	13827	18523
427	13861	18492
428	13892	18458
429	13919	18419
430	13950	18384
431	13979	18348
432	14009	18312
433	14035	18272
434	14065	18236
435	14095	18200
436	14121	18160
437	14149	18122
438	14178	18086
439	14206	18048
440	14233	18010
441	14268	17980
442	14304	17952
443	14388	17985
444	14479	18026
445	14544	18034
446	14599	18028
447	14633	17998
448	14667	17966
449	14696	17929
450	14720	17886
451	14753	17854
452	14780	17815
453	14806	17774
454	14832	17733
455	14868	17705
456	14899	17670
457	14927	17632
458	14962	17603
459	15000	17576
460	15033	17544
461	15065	17511
462	15097	17477
463	15128	17442
464	15160	17409
465	15189	17373
466	15218	17336
467	15247	17299
468	15277	17264
469	15303	17224
470	15333	17189
471	15363	17154
472	15389	17113
473	15416	17075
474	15446	17040
475	15478	17006
476	15507	16970
477	15536	16934
478	15564	16896
479	15589	16856
480	15615	16816
481	15644	16780
482	15673	16744
483	15700	16706
484	15732	16673
485	15762	16637
486	15789	16599
487	15814	16560
488	15846	16526
489	15874	16490
490	15900	16450
491	15932	16417
492	15975	16397
493	16006	16363
494	16036	16328
495	16063	16290
496	16089	16251
497	16117	16214
498	16146	16179
499	16176	16143
500	16204	16107
501	16234	16072
502	16264	16038
503	16298	16007
504	16329	15973
505	16358	15938
506	16384	15899
507	16412	15863
508	16441	15828
509	16484	15805
510	16519	15775
511	16554	15745
512	16582	15709
513	16610	15673
514	16637	15636
515	16664	15599
516	16690	15560
517	16719	15525
518	16747	15489
519	16777	15455
520	16803	15416
521	16830	15379
522	16859	15344
523	16885	15306
524	16915	15271
525	16942	15235
526	16974	15203
527	17009	15173
528	17047	15146
529	17084	15117
530	17119	15088
531	17159	15062
532	17200	15038
533	17239	15012
534	17276	14983
535	17311	14954
536	17347	14924
537	17383	14895
538	17423	14869
539	17454	14836
540	17488	14805
541	17523	14775
542	17558	14745
543	17634	14749
544	17743	14780
545	17842	14803
546	17919	14806
547	17991	14807
548	18019	14770
549	18047	14733
550	18076	14697
551	18104	14660
552	18133	14624
553	18160	14587
554	18188	14550
555	18216	14514
556	18244	14477
557	18269	14438
558	18302	14406
559	18337	14375
560	18409	14373
561	18507	14391
562	18642	14437
563	18730	14446
564	18807	14446
565	18880	14444
566	18912	14409
567	18946	14376
568	18971	14336
569	19000	14300
570	19026	14261
571	19056	14225
572	19081	14186
573	19109	14149
574	19136	14110
575	19162	14072
576	19190	14035
577	19217	13997
578	19244	13959
579	19267	13919
580	19296	13883
581	19333	13852
582	19360	13815
583	19387	13777
584	19413	13738
585	19441	13702
586	19465	13662
587	19494	13625
588	19521	13588
589	19548	13551
590	19574	13513
