iter	MAE
0	265.7430728
1	250.0119825
2	232.1594221
3	215.4405315
4	200.4526339
5	187.4423352
6	175.8756416
7	167.0132511
8	157.8276639
9	149.832969
10	143.8200299
11	141.1544206
12	135.7592269
13	130.3756959
14	128.613338
15	124.7151744
16	123.4502762
17	120.2653803
18	117.4501379
19	116.5463673
20	113.9450311
21	111.9915942
22	110.4516744
23	109.9104684
24	108.3104109
25	107.4024004
26	106.2538823
27	105.3778998
28	104.1348814
29	103.5939705
30	103.1676541
31	102.9584042
32	102.0844785
33	101.319424
34	101.0933889
35	100.5209948
36	100.3117446
37	99.97110582
38	99.70520784
39	99.57233119
40	99.49851171
41	99.41631965
42	99.27515674
43	99.20036715
44	99.16975596
45	99.1267353
46	99.07138263
47	99.05442653
48	99.02917288
49	98.99864815
50	98.97773023
51	98.9253482
52	98.90525567
53	98.90273022
54	98.5122708
55	98.49629505
56	98.49061464
57	98.47933653
58	98.47397349
59	98.42251414
60	98.41127834
61	98.40594732
62	98.30259629
63	98.16443093
64	98.09730114
65	98.07062096
66	98.04806422
67	97.79672576
68	97.72650963
69	97.65378126
70	97.63599281
71	97.55116039
72	97.33261231
73	97.25726413
74	97.14861608
75	97.08109167
76	96.98616999
77	96.98393944
78	96.70647961
79	96.5574004
80	96.38905085
81	96.37791415
82	96.17092866
83	95.97316324
84	95.93021913
85	95.76584104
86	95.72529283
87	95.67845619
88	95.60983447
89	95.58298349
90	95.54084847
91	95.49224725
92	95.44824778
93	95.44286469
94	95.43551494
95	95.40537594
96	95.39175704
97	95.37986514
98	95.32871233
99	95.13542328
100	95.09614256
101	94.95123401
102	94.89385336
103	94.61923314
104	94.58408041
105	94.48782289
106	94.33440905
107	94.23868708
108	94.23700457
109	94.23152011
110	94.14996826
111	94.05888655
112	93.99792759
113	93.90510697
114	93.90454272
115	93.90293928
116	93.89144117
117	93.89051106
118	93.88254736
119	93.84789434
120	93.74314343
121	93.71439186
122	93.57463843
123	93.57433079
124	93.57272186
125	93.56197565
126	93.55410057
127	93.55354347
128	93.52213764
129	93.49446179
130	93.45318794
131	93.43223035
132	93.41175827
133	93.19814642
134	93.12806798
135	93.09080684
136	93.09038761
137	93.07332186
138	93.03188097
139	93.00113879
140	92.97513474
141	92.88190516
142	92.73721228
143	92.7331318
144	92.69478148
145	92.67588069
146	92.6678055
147	92.44744846
148	92.43289587
149	92.29380504
150	92.28288309
151	92.21184721
152	92.19272372
153	92.18021878
154	92.17551581
155	92.17259323
156	92.15428831
157	92.11583687
158	92.07967649
159	92.03166926
160	92.00999886
161	91.98671022
162	91.98662283
163	91.98297953
164	91.92719988
165	91.89710733
166	91.89670797
167	91.89523062
168	91.84879533
169	91.80285063
170	91.78185047
171	91.76061325
172	91.73133765
173	91.60026628
174	91.58810594
175	91.57153044
176	91.51850937
177	91.47272028
178	91.46101902
179	91.46041368
180	91.45186949
181	91.45176518
182	91.43000819
183	91.42175123
184	91.40289413
185	91.3176256
186	91.31671706
187	91.29964539
188	91.29958057
189	91.29671573
190	91.27273503
191	91.27170481
192	91.26521535
193	91.26014229
194	91.226795
195	91.21168816
196	91.16914145
197	91.16676541
198	91.14865126
199	91.14097681
200	91.06635659
201	91.06448458
202	91.06179403
203	91.05523331
204	91.05357731
205	91.04770342
206	91.04529835
207	91.04278401
