iter	Passed	Remaining
0	39	39879
1	76	38167
2	106	35540
3	134	33478
4	163	32437
5	188	31274
6	214	30382
7	242	30035
8	278	30639
9	307	30418
10	334	30105
11	377	31120
12	406	30882
13	445	31394
14	476	31294
15	506	31122
16	529	30641
17	556	30374
18	581	29998
19	603	29583
20	624	29128
21	646	28749
22	674	28656
23	697	28383
24	722	28166
25	752	28197
26	782	28186
27	806	28009
28	839	28109
29	880	28464
30	917	28679
31	946	28627
32	996	29202
33	1060	30120
34	1123	30981
35	1152	30854
36	1176	30619
37	1200	30394
38	1223	30144
39	1244	29871
40	1270	29712
41	1296	29574
42	1319	29359
43	1342	29176
44	1369	29054
45	1389	28819
46	1411	28611
47	1432	28402
48	1454	28220
49	1485	28220
50	1519	28266
51	1552	28300
52	1587	28360
53	1623	28441
54	1648	28327
55	1675	28235
56	1698	28103
57	1721	27961
58	1743	27805
59	1774	27798
60	1804	27770
61	1826	27627
62	1849	27505
63	1875	27425
64	1898	27312
65	1925	27249
66	1958	27278
67	1982	27175
68	2045	27596
69	2080	27636
70	2103	27522
71	2127	27423
72	2148	27284
73	2171	27167
74	2200	27135
75	2229	27099
76	2252	26999
77	2277	26925
78	2309	26919
79	2334	26848
80	2358	26760
81	2386	26718
82	2416	26699
83	2451	26728
84	2480	26698
85	2516	26742
86	2545	26713
87	2570	26640
88	2592	26541
89	2615	26444
90	2641	26383
91	2669	26348
92	2691	26251
93	2715	26174
94	2738	26086
95	2762	26013
96	2785	25932
97	2808	25845
98	2829	25754
99	2855	25695
100	2889	25723
101	2921	25720
102	2957	25757
103	2993	25786
104	3024	25783
105	3105	26187
106	3164	26406
107	3222	26615
108	3281	26822
109	3307	26760
110	3338	26738
111	3362	26661
112	3387	26588
113	3410	26503
114	3430	26400
115	3451	26303
116	3474	26218
117	3496	26133
118	3523	26087
119	3562	26123
120	3607	26208
121	3633	26148
122	3655	26067
123	3682	26014
124	3711	25983
125	3738	25935
126	3770	25917
127	3794	25849
128	3817	25772
129	3838	25687
130	3861	25615
131	3886	25557
132	3908	25478
133	3932	25412
134	3956	25350
135	3987	25332
136	4011	25271
137	4033	25193
138	4055	25118
139	4088	25114
140	4128	25153
141	4155	25107
142	4183	25072
143	4207	25013
144	4229	24940
145	4250	24865
146	4274	24804
147	4295	24726
148	4315	24649
149	4335	24566
150	4359	24513
151	4387	24479
152	4413	24434
153	4435	24364
154	4457	24299
155	4479	24236
156	4501	24171
157	4522	24100
158	4548	24057
159	4584	24067
160	4614	24047
161	4642	24012
162	4667	23969
163	4691	23914
164	4720	23886
165	4748	23857
166	4791	23898
167	4837	23958
168	4873	23963
169	4901	23931
170	4932	23912
171	4956	23859
172	4983	23822
173	5011	23792
174	5036	23743
175	5064	23713
176	5095	23691
177	5153	23797
178	5184	23778
179	5208	23727
180	5235	23688
181	5260	23645
182	5285	23595
183	5311	23554
184	5334	23499
185	5357	23445
186	5388	23426
187	5424	23427
188	5457	23419
189	5495	23426
190	5532	23434
191	5568	23432
192	5620	23500
193	5649	23473
194	5685	23469
195	5725	23488
196	5751	23441
197	5775	23392
198	5799	23344
199	5823	23293
200	5845	23236
201	5868	23182
202	5893	23139
203	5922	23110
204	5953	23087
205	5985	23068
206	6009	23021
207	6039	22995
208	6072	22982
209	6107	22976
210	6189	23145
211	6241	23198
212	6270	23166
213	6295	23124
214	6345	23166
215	6403	23240
216	6444	23252
217	6477	23236
218	6499	23176
219	6523	23127
220	6546	23075
221	6574	23041
222	6624	23083
223	6658	23067
224	6701	23083
225	6730	23050
226	6754	23002
227	6782	22964
228	6807	22920
229	6832	22875
230	6855	22823
231	6877	22766
232	6900	22715
233	6924	22666
234	6944	22608
235	6967	22556
236	6995	22520
237	7021	22481
238	7044	22428
239	7065	22374
240	7085	22316
241	7108	22265
242	7131	22217
243	7153	22164
244	7183	22137
245	7233	22172
246	7261	22137
247	7284	22088
248	7309	22045
249	7334	22003
250	7356	21950
251	7377	21898
252	7404	21860
253	7430	21824
254	7454	21778
255	7476	21728
256	7504	21696
257	7533	21665
258	7560	21631
259	7591	21606
260	7617	21569
261	7653	21559
262	7719	21632
263	7748	21602
264	7772	21556
265	7796	21513
266	7822	21476
267	7851	21444
268	7887	21434
269	7919	21411
270	7952	21392
271	7977	21350
272	7998	21299
273	8022	21255
274	8051	21226
275	8078	21190
276	8099	21141
277	8126	21105
278	8152	21067
279	8182	21041
280	8245	21097
281	8286	21098
282	8323	21089
283	8354	21062
284	8375	21012
285	8397	20964
286	8418	20914
287	8443	20873
288	8470	20838
289	8494	20797
290	8516	20748
291	8540	20708
292	8563	20662
293	8585	20616
294	8613	20584
295	8641	20553
