iter	MAE
0	254.8014561
1	238.8345998
2	223.9031766
3	209.7249776
4	204.4046008
5	198.1821471
6	184.1203469
7	171.9007937
8	161.5152121
9	153.5916869
10	150.5496511
11	143.1224473
12	136.5596715
13	134.6177761
14	132.971112
15	127.8854398
16	123.9270282
17	120.4864842
18	116.9902504
19	114.1124472
20	111.774695
21	109.7693099
22	108.0902483
23	107.5729377
24	107.1345841
25	105.7159366
26	104.4351959
27	103.4077933
28	102.2618985
29	101.3694421
30	100.6102591
31	100.3597778
32	100.2263122
33	99.65304326
34	99.47868222
35	99.33999928
36	98.55478605
37	98.07105477
38	98.02529398
39	97.90277171
40	97.82366541
41	97.50112343
42	97.34965707
43	97.01086633
44	96.95778357
45	96.41782224
46	96.28372588
47	96.13270114
48	96.07735054
49	96.00475825
50	95.99089219
51	95.98950704
52	95.98469749
53	95.94215297
54	95.93787784
55	95.80999683
56	95.5271862
57	95.18493704
58	95.07829176
59	95.02678721
60	95.02662924
61	95.02298433
62	94.95061352
63	94.91872627
64	94.91781922
65	94.72537968
66	94.71240845
67	94.69416435
68	94.67594651
69	94.65282323
70	94.64327657
71	94.63436715
72	94.52033122
73	94.43820538
74	94.36427426
75	94.33373366
76	94.11543095
77	94.09302646
78	94.04441559
79	93.899867
80	93.88772263
81	93.69741935
82	93.68245363
83	93.65056295
84	93.53555882
85	93.41499671
86	93.40608271
87	93.40423165
88	93.35381419
89	93.30220938
90	93.30108572
91	93.28782139
92	93.26031444
93	93.21099042
94	93.1765459
95	92.96052657
96	92.76830208
97	92.64755701
98	92.63515744
99	92.61515701
100	92.50895483
101	92.46628502
102	92.42559338
103	92.38098308
104	92.35018369
105	92.34882092
106	92.27765935
107	92.27634492
108	92.27452
109	92.17819993
110	92.17237825
111	92.0125216
112	91.99591107
113	91.95834974
114	91.83915246
115	91.83871979
116	91.83114423
117	91.73509992
118	91.66794294
119	91.66570705
120	91.48323093
121	91.44830336
122	91.43217749
123	91.37381171
124	91.34721339
125	91.33864683
126	91.30696058
127	91.29306791
128	91.26306071
129	91.26300297
130	91.25978665
131	91.24309688
132	91.24219305
133	91.24205226
134	91.2415387
135	91.23602023
136	91.23584172
137	91.20316562
138	91.20312472
139	91.18807264
140	91.18631092
141	91.12652225
142	91.12038724
143	91.11269004
144	91.10882651
145	91.09649296
146	91.09620413
147	91.09148704
148	91.08072715
149	91.0784921
150	91.07157572
151	91.06741863
152	91.06125023
153	91.00490906
154	91.00468763
155	90.99244418
156	90.95909694
157	90.95502145
158	90.93679169
159	90.93673789
160	90.92234858
161	90.92177552
162	90.89381668
163	90.88114035
164	90.87981427
165	90.87055895
166	90.8692567
167	90.86579938
168	90.84813804
169	90.84521859
170	90.8419131
171	90.8321358
172	90.83061037
173	90.83047388
174	90.81256504
175	90.81247531
176	90.7532974
177	90.7499654
178	90.74099922
179	90.70693647
180	90.70370789
181	90.69182281
182	90.69132975
183	90.68746001
184	90.68645433
185	90.67735466
186	90.67280128
187	90.61346225
188	90.60350006
189	90.54614878
190	90.47139188
191	90.4634391
192	90.43248132
193	90.39982854
194	90.3552991
195	90.35379989
196	90.35366666
197	90.3421472
198	90.29371128
199	90.26090791
200	90.26080689
201	90.14863988
202	90.11317471
203	90.11212556
204	90.10954398
205	90.10680523
206	90.09930853
207	90.0991479
208	90.09892117
209	90.09796095
210	90.0979228
211	90.08434547
212	90.08432046
213	90.08077441
214	90.08057155
215	90.08038228
216	90.08036993
217	90.06617923
218	90.05530481
219	90.0552929
220	90.05511699
221	90.05474524
222	90.02313925
223	90.01065306
224	89.93603828
225	89.92384657
226	89.92057652
227	89.88830937
228	89.84906604
229	89.84905796
230	89.84135808
231	89.84135576
232	89.84135533
233	89.84086351
234	89.84078263
235	89.84075914
236	89.84070885
237	89.84054305
238	89.83239151
239	89.79857349
240	89.78767898
241	89.76321116
242	89.76162733
243	89.76162376
244	89.76161325
245	89.76161292
246	89.76161284
247	89.76109433
248	89.76062218
249	89.74101061
250	89.71483791
251	89.70328005
