iter	Passed	Remaining
401	16731	24888
402	16818	24914
403	16849	24856
404	16885	24806
405	16918	24753
406	16952	24700
407	16980	24638
408	17006	24574
409	17028	24504
410	17050	24435
411	17078	24374
412	17103	24308
413	17126	24241
414	17147	24171
415	17169	24103
416	17190	24034
417	17214	23969
418	17238	23903
419	17260	23836
420	17291	23780
421	17355	23771
422	17410	23748
423	17456	23714
424	17489	23662
425	17534	23626
426	17559	23563
427	17582	23497
428	17603	23430
429	17629	23368
430	17651	23302
431	17672	23235
432	17693	23169
433	17718	23107
434	17748	23052
435	17773	22991
436	17854	23002
437	17881	22944
438	17926	22908
439	17965	22864
440	18020	22841
441	18069	22811
442	18104	22763
443	18163	22745
444	18229	22736
445	18295	22726
446	18328	22674
447	18371	22636
448	18419	22603
449	18470	22575
450	18493	22511
451	18513	22445
452	18535	22381
453	18557	22317
454	18583	22258
455	18613	22205
456	18637	22145
457	18671	22096
458	18702	22043
459	18739	21998
460	18772	21948
461	18815	21910
462	18870	21886
463	18950	21891
464	18997	21857
465	19028	21805
466	19063	21758
467	19088	21698
468	19109	21635
469	19131	21574
470	19151	21509
471	19176	21452
472	19198	21390
473	19220	21328
474	19242	21267
475	19271	21215
476	19295	21155
477	19316	21094
478	19348	21044
479	19378	20992
480	19430	20965
481	19478	20933
482	19518	20892
483	19555	20848
484	19588	20800
485	19616	20746
486	19641	20690
487	19662	20629
488	19684	20569
489	19747	20553
490	19807	20533
491	19867	20513
492	19920	20486
493	20023	20510
494	20054	20459
495	20081	20405
496	20104	20346
497	20127	20289
498	20153	20234
499	20175	20175
500	20197	20117
501	20224	20063
502	20244	20003
503	20264	19943
504	20284	19882
505	20306	19824
506	20329	19768
507	20354	19713
508	20377	19657
509	20403	19603
510	20428	19548
511	20448	19489
512	20469	19431
513	20494	19377
514	20537	19341
515	20565	19290
516	20589	19235
517	20615	19183
518	20637	19126
519	20658	19069
520	20678	19011
521	20700	18955
522	20721	18898
523	20742	18842
524	20767	18789
525	20789	18734
526	20821	18687
527	20843	18632
528	20861	18574
529	20882	18518
530	20903	18463
531	20925	18408
532	20946	18352
533	20971	18301
534	20997	18250
535	21073	18242
536	21098	18191
537	21130	18145
538	21166	18103
539	21196	18056
540	21220	18004
541	21241	17949
542	21261	17894
543	21282	17839
544	21302	17784
545	21324	17731
546	21344	17676
547	21364	17622
548	21393	17574
549	21420	17526
550	21439	17470
551	21461	17417
552	21482	17364
553	21503	17311
554	21526	17259
555	21547	17206
556	21575	17159
557	21603	17112
558	21630	17064
559	21658	17017
560	21680	16965
561	21706	16917
562	21752	16884
563	21793	16847
564	21855	16826
565	21915	16804
566	22046	16836
567	22183	16872
568	22496	17040
569	22526	16993
570	22551	16943
571	22572	16889
572	22599	16841
573	22625	16792
574	22652	16742
575	22681	16695
576	22729	16663
577	22753	16612
578	22775	16560
579	22798	16509
580	22818	16456
581	22840	16404
582	22861	16351
583	22882	16299
584	22907	16250
585	22930	16199
586	22961	16154
587	23009	16122
588	23033	16072
589	23061	16025
590	23083	15975
591	23107	15925
592	23127	15873
593	23154	15826
594	23183	15780
595	23208	15731
596	23232	15682
597	23256	15633
598	23279	15584
599	23305	15536
600	23327	15487
601	23351	15438
602	23376	15390
603	23404	15344
604	23424	15293
605	23446	15243
606	23469	15195
607	23563	15192
608	23600	15152
609	23629	15107
610	23654	15060
611	23676	15010
612	23700	14962
613	23721	14913
614	23743	14864
615	23764	14814
616	23788	14766
617	23812	14718
618	23844	14676
619	23873	14631
620	23896	14584
621	23917	14535
622	23939	14486
623	23959	14437
624	23980	14388
625	24002	14340
626	24029	14295
627	24071	14258
628	24110	14221
629	24140	14177
630	24162	14129
631	24183	14081
632	24205	14034
633	24227	13986
634	24262	13946
635	24302	13909
636	24338	13869
637	24383	13835
638	24415	13793
639	24441	13748
640	24468	13704
641	24505	13664
642	24536	13622
643	24629	13615
644	24666	13576
645	24703	13537
646	24741	13498
647	24788	13465
648	24839	13433
649	24896	13405
650	24942	13371
651	24967	13326
652	24990	13280
653	25012	13233
654	25035	13186
655	25062	13142
656	25086	13096
657	25124	13058
658	25164	13021
659	25192	12977
660	25219	12933
661	25246	12890
662	25269	12844
663	25293	12799
664	25317	12754
665	25343	12709
666	25368	12665
667	25396	12621
668	25421	12577
669	25445	12533
670	25471	12489
671	25497	12445
672	25521	12400
673	25550	12358
674	25608	12330
675	25781	12357
676	25870	12342
677	25960	12329
678	26014	12298
679	26083	12274
680	26127	12238
681	26163	12199
682	26212	12165
683	26263	12133
684	26299	12093
685	26330	12052
686	26371	12014
687	26406	11974
688	26447	11937
689	26488	11900
690	26529	11863
691	26567	11824
692	26607	11787
693	26641	11746
694	26708	11720
695	26824	11716
696	26912	11699
697	26991	11678
698	27038	11643
699	27075	11603
700	27147	11579
701	27223	11556
702	27305	11535
703	27361	11504
704	27416	11472
705	27459	11434
706	27552	11418
707	27619	11391
708	27698	11368
709	27757	11337
710	27827	11310
711	27865	11271
712	27918	11237
713	27968	11203
714	28075	11191
715	28174	11175
716	28246	11148
717	28291	11111
718	28329	11071
719	28371	11033
720	28422	10998
721	28453	10955
722	28478	10910
723	28510	10868
724	28546	10828
725	28609	10797
726	28663	10763
727	28722	10731
728	28777	10697
729	28806	10654
730	28833	10610
731	28865	10568
732	28918	10533
733	28982	10503
734	29046	10472
735	29112	10442
736	29264	10442
737	29390	10434
738	29555	10438
739	29634	10412
740	29673	10371
741	29770	10351
742	29840	10321
743	29902	10289
744	29970	10258
745	30040	10228
746	30101	10195
747	30165	10162
748	30258	10140
749	30329	10109
750	30395	10077
751	30465	10047
752	30536	10016
753	30674	10007
754	30758	9981
755	30884	9968
756	30987	9947
757	31060	9916
758	31135	9886
759	31227	9861
760	31298	9829
761	31397	9806
762	31471	9775
763	31547	9745
764	31580	9701
765	31635	9664
766	31748	9644
767	31865	9626
768	32019	9618
769	32069	9579
770	32115	9538
771	32167	9500
772	32208	9458
773	32257	9418
774	32294	9375
775	32335	9333
776	32367	9289
777	32396	9244
778	32424	9198
779	32487	9163
780	32532	9122
781	32580	9082
782	32634	9044
783	32666	8999
784	32698	8955
785	32777	8924
786	32835	8886
787	32895	8850
788	32942	8809
789	33322	8857
790	33437	8834
791	33500	8798
792	33546	8756
793	33596	8716
794	33670	8682
795	33727	8643
796	33804	8610
797	33868	8573
798	33969	8545
799	34089	8522
800	34163	8487
801	34194	8441
802	34230	8397
803	34270	8354
804	34323	8314
805	34428	8286
806	34522	8256
807	34599	8221
808	34633	8176
809	34670	8132
810	34705	8087
811	34752	8046
812	34812	8007
813	34843	7961
814	34870	7915
815	34909	7871
816	34943	7827
817	34976	7782
818	35018	7739
819	35072	7698
820	35106	7654
821	35205	7623
822	35258	7582
823	35317	7543
824	35368	7502
825	35416	7460
826	35490	7424
827	35556	7386
828	35612	7345
829	35727	7317
830	35827	7286
831	35878	7244
832	35913	7199
833	35998	7165
834	36075	7128
835	36185	7098
836	36221	7053
837	36279	7013
838	36326	6970
839	36377	6929
840	36476	6896
841	36552	6858
842	36586	6813
843	36628	6770
844	36659	6724
845	36702	6681
846	36772	6642
847	36873	6609
848	36993	6579
849	37061	6540
850	37117	6498
851	37164	6455
852	37202	6411
853	37245	6367
854	37287	6323
855	37323	6278
856	37359	6233
857	37391	6188
858	37426	6143
859	37480	6101
860	37517	6056
861	37571	6014
862	37634	5974
863	37691	5932
864	37751	5891
865	37804	5849
866	37865	5808
867	37896	5763
868	37963	5722
869	38064	5687
870	38149	5650
871	38258	5615
872	38323	5575
873	38374	5532
874	38478	5496
875	38537	5455
876	38567	5409
877	38602	5363
878	38651	5320
879	38695	5276
880	38734	5231
881	38769	5186
882	38839	5146
883	38917	5106
884	39063	5076
885	39119	5033
886	39157	4988
887	39191	4943
888	39234	4898
889	39357	4864
890	39522	4835
891	39601	4794
892	39674	4753
893	39727	4710
894	39793	4668
895	39870	4627
896	39908	4582
897	39945	4537
898	39988	4492
899	40026	4447
900	40059	4401
901	40093	4356
902	40167	4314
903	40201	4269
904	40274	4227
905	40351	4186
906	40407	4143
907	40486	4102
908	40607	4065
909	41180	4072
910	41255	4030
911	41308	3985
912	41356	3940
913	41427	3897
914	41477	3853
915	41518	3807
916	41566	3762
917	41608	3716
918	41690	3674
919	41754	3630
920	41805	3585
921	41845	3540
922	41891	3494
923	41934	3449
924	41969	3402
925	42003	3356
926	42045	3311
927	42098	3266
928	42154	3221
929	42242	3179
930	42373	3140
931	42438	3096
932	42490	3051
933	42528	3005
934	42566	2959
935	42620	2914
936	42653	2867
937	42699	2822
938	42733	2776
939	42795	2731
940	42879	2688
941	42954	2644
942	43060	2602
943	43116	2557
944	43154	2511
