iter	MAE
0	254.2333066
1	238.5875735
2	224.381262
3	209.9217164
4	203.9980174
5	197.7032636
6	183.7868473
7	171.7471416
8	161.7498007
9	153.5827489
10	150.6070607
11	143.2584665
12	136.9995349
13	135.0656994
14	133.3955253
15	128.4721594
16	124.1338336
17	120.4733243
18	117.4600702
19	116.6496848
20	113.8046287
21	111.7247013
22	109.8854092
23	109.2931339
24	107.5339237
25	105.9876012
26	104.6358453
27	103.5644128
28	102.3749367
29	101.389594
30	100.6114936
31	100.3759086
32	99.8087254
33	99.51530816
34	98.97822891
35	98.85085464
36	98.70375356
37	98.61681278
38	98.45598471
39	98.3577073
40	97.8934165
41	97.67344215
42	97.56216842
43	97.47644854
44	97.22909323
45	97.17232325
46	97.08208657
47	97.02277142
48	96.8714825
49	96.50300608
50	96.28688868
51	96.22149962
52	95.65053391
53	95.62746086
54	95.45458554
55	95.20816947
56	95.02516221
57	94.98625066
58	94.77386462
59	94.76083933
60	94.70768619
61	94.44290478
62	94.38983531
63	94.38256832
64	94.33396872
65	94.0831183
66	94.0664542
67	93.93821843
68	93.69278943
69	93.53183967
70	93.4842864
71	93.48116589
72	93.39708623
73	93.32700414
74	93.18068051
75	93.15505626
76	92.99129451
77	92.98164011
78	92.98164011
79	92.9389955
80	92.86776663
81	92.73040176
82	92.68663342
83	92.59989071
84	92.54652228
85	92.439001
86	92.43405867
87	92.39606717
88	92.3762655
89	92.36469084
90	92.28110284
91	92.25406913
92	92.25088673
93	92.20375845
94	92.16853859
95	92.11592425
96	92.06027987
97	92.00027691
98	91.98068546
99	91.88465617
100	91.82396962
101	91.81145963
102	91.67194164
103	91.65288716
104	91.65038236
105	91.55966089
106	91.55929104
107	91.5590217
108	91.55542911
109	91.54323918
110	91.49058945
111	91.49019148
112	91.47658858
113	91.42556116
114	91.42410296
115	91.41807362
116	91.36836655
117	91.27502668
118	91.19790075
119	91.19637823
120	91.17332848
121	91.1490281
122	91.12535137
123	91.12287085
124	91.11179485
125	91.01672034
126	91.01467332
127	91.0131853
128	91.0077607
129	91.00731849
130	91.00098399
131	91.00034552
132	91.00008056
133	90.99822485
134	90.99778397
135	90.99737193
136	90.99416004
137	90.99357923
138	90.99269179
139	90.98855587
140	90.98750852
141	90.98441096
142	90.97770626
143	90.94903841
144	90.94199059
145	90.93523344
146	90.93414862
147	90.9300575
148	90.89020935
149	90.86387803
150	90.86217458
151	90.81499466
152	90.77416516
153	90.75533794
154	90.74777867
155	90.70904911
156	90.70775262
157	90.67830748
158	90.67796328
159	90.64192567
160	90.56406869
161	90.56378931
162	90.53558183
163	90.50517708
164	90.49773077
165	90.49673335
166	90.49433024
167	90.48079018
168	90.47710099
169	90.45673191
170	90.45370984
171	90.40998491
172	90.39276894
173	90.39190858
174	90.34594934
175	90.34254693
176	90.34138068
177	90.33819062
178	90.32755885
179	90.32639489
180	90.21675662
181	90.21163021
182	90.21076944
183	90.2096472
184	90.20783191
185	90.19581849
186	90.15136533
187	90.10604777
188	90.07637881
189	90.07386327
190	90.07311628
191	90.07103657
192	90.06731742
193	90.06561046
194	90.05568886
195	90.0530627
196	90.03004829
197	90.02860571
198	90.02767777
199	90.00448515
200	89.98941999
201	89.98940514
202	89.98934843
203	89.96113136
204	89.96105059
205	89.96102072
206	89.95424804
207	89.94083464
208	89.94074847
209	89.94074734
210	89.90828976
211	89.90024746
212	89.90023453
213	89.89928431
214	89.89634543
215	89.89372549
216	89.88170891
217	89.88165087
218	89.88147865
219	89.8813212
220	89.88115393
221	89.88114432
222	89.88110162
223	89.88089569
224	89.87974136
225	89.8776795
226	89.87764649
227	89.87758144
228	89.85381277
229	89.85374531
230	89.79568359
231	89.77112091
232	89.77000524
233	89.75128658
234	89.74257905
235	89.74253564
236	89.74211126
237	89.73855291
238	89.73613147
239	89.73526529
240	89.73487858
241	89.73454831
242	89.73429962
243	89.73270594
244	89.73096777
245	89.72969894
246	89.72966188
247	89.72947525
248	89.7282664
249	89.72801053
250	89.72727174
251	89.65744755
252	89.63287756
253	89.6295442
254	89.6220735
255	89.62015918
256	89.61867986
257	89.61845666
258	89.61818468
259	89.59362783
260	89.59166318
261	89.58985606
262	89.58971523
263	89.57786393
264	89.55866728
265	89.52108739
266	89.49860419
267	89.48637821
268	89.46395303
269	89.44746732
270	89.44738426
271	89.44737035
272	89.44725674
273	89.44715967
274	89.44707926
275	89.44701372
276	89.44698684
277	89.44687971
278	89.44685739
279	89.44683927
280	89.40406759
281	89.40319404
282	89.40318099
283	89.40317043
284	89.4031612
285	89.40315324
286	89.4031463
287	89.40274428
288	89.40265261
289	89.40263275
290	89.4023348
291	89.40218415
292	89.40174845
293	89.40044211
294	89.40032624
295	89.39461941
296	89.39451728
297	89.39435561
298	89.39433314
299	89.30540408
300	89.30094393
301	89.2630794
302	89.26271592
303	89.26269606
304	89.24315442
305	89.23282777
306	89.23271217
307	89.23055789
308	89.22545245
309	89.22159314
310	89.20889528
311	89.16198308
312	89.15116493
313	89.143152
314	89.11080911
315	89.10789334
316	89.10674107
317	89.0889561
318	89.0838003
319	89.08368999
320	89.0836128
321	89.08242761
322	89.08179052
323	89.07930842
324	89.07861141
325	89.07701868
326	89.07679721
327	89.07607655
328	89.07281604
329	89.07262022
330	89.07231735
331	89.06534202
332	89.05488398
333	89.05084791
334	89.04638051
335	89.03060721
336	89.0288696
337	89.02283237
338	89.02169618
339	89.01922109
340	89.01791723
341	89.01711004
342	89.01597525
343	89.01093402
344	89.00944078
345	89.00735309
346	88.96130084
347	88.95809398
348	88.95809135
349	88.95792706
350	88.95791076
351	88.95687664
352	88.9566687
353	88.94591607
354	88.93953086
355	88.93938207
